ORDER_NUMBER,ACCOUNT_NUMBER,ACCOUNT_NAME,ORDER_DATE,CUSTOMER_ORDER_NO,DELIVERY_INSTRUCTIONS,ORDER_STATUS
"""6147718""","""1574886""","""A-000149692""",02/02/2018,"""""",""" ""","""Completed"""
"""6102942""","""1572921""","""A-000147832""",11/12/2017,"""""",""" ""","""Completed"""
"""6102943""","""1572347""","""A-000147820""",09/12/2017,"""""",""" ""","""Completed"""
"""6071501""","""1570246""","""A-000139435""",11/11/2017,"""""",""" ""","""Completed"""
"""6071502""","""1570560""","""A-000139438""",12/11/2017,"""""",""" ""","""Completed"""
"""6071503""","""1570241""","""A-000139431""",11/11/2017,"""""",""" ""","""Completed"""
"""6071504""","""1570243""","""A-000139433""",11/11/2017,"""""",""" ""","""Completed"""
"""6071505""","""1570242""","""A-000139432""",11/11/2017,"""""",""" ""","""Completed"""
"""6071506""","""1570247""","""A-000139436""",11/11/2017,"""""",""" ""","""Completed"""
"""6071507""","""1570564""","""A-000139441""",12/11/2017,"""""",""" ""","""Completed"""
"""6071508""","""1570565""","""A-000139442""",12/11/2017,"""""",""" ""","""Completed"""
"""6062104""","""1569767""","""A-000137303""",03/11/2017,"""""",""" ""","""Completed"""
"""6062105""","""1569776""","""A-000137304""",03/11/2017,"""""",""" ""","""Completed"""
"""6062106""","""1569778""","""A-000137305""",03/11/2017,"""""",""" ""","""Completed"""
"""6069173""","""1570233""","""A-000139426""",10/11/2017,"""""",""" ""","""Completed"""
"""6136372""","""1574622""","""A-000149271""",19/01/2018,"""""",""" ""","""Completed"""
"""6044044""","""1567607""","""A-000131700""",20/11/2017,"""""",""" ""","""Cancelled"""
"""6148002""","""1568608""","""A-000132099""",04/02/2018,"""1802-JYG4-O""",""" ""","""Completed"""
"""6066283""","""1570163""","""A-000137667""",08/11/2017,"""1711-KZEY-O""","""DO NOT leave unattended. Thank you.""","""Completed/Cancelled"""
"""6106674""","""1573015""","""A-000148004""",13/12/2017,"""1712-KXSJ-O""","""Please leave in the patio at t he back of the house.""","""Completed/Cancelled"""
"""6106674""","""1573015""","""A-000148004""",20/12/2017,"""Coming from BRI Branch""",""" ""","""Completed"""
